pair,are_same_entity,confidence,left_norm,right_norm
8,False,0.9,assn of new jersey rifle and pistol clubs,california rifle and pistol assn incorporated
9,False,0.8,ctr for children’s law and policy,ctr for u.s. policy
10,False,0.9,michigan fair elections,pa fair elections
1,False,0.9,alabama coalition for immigrant justice,immigrant justice corps
2,False,0.8,hudson valley cannabis industry assn,natl cannabis industry assn
3,False,0.95,atlanta legal aid soc,legal aid of nebraska
4,False,0.85,defense of freedom inst,justice and freedom fund
5,False,0.9,aclu fdn of louisiana,ltac of louisiana
6,False,0.95,georgia innocence project,mt innocence project
7,False,0.9,middle rio grande conservancy district,refugio del rio grande
8,False,0.85,thomas more law ctr,thomas more soc
9,False,0.95,kalamazoo college,ywca kalamazoo
10,False,0.85,apa watch,rights watch intl
1,False,0.9,dc coalition against domestic violence,maryland network against domestic violence
2,False,0.8,freedom ctr fdn,freedom fdn of minnesota
3,True,0.95,conservative legal def. and ed. fund,conservative legal defense and education fund
4,True,0.9,family heritage alliance,family heritage alliance (south dakota)
5,False,0.85,eliot unitarian universalist chapel,unitarian universalist assn
6,False,0.95,j street,rimini street
7,False,0.9,athletes for care,athletes for impact
8,False,0.95,federal defender for the district of arizona,federal public defender western district of washington
9,False,0.9,freedom fdn of minnesota,minnesota freedom fund
10,False,0.85,american civil rights union,forum for constitutional rights
1,False,0.7,children’s action alliance,children’s ctr
2,False,0.8,government accountability project,natl police accountability project
3,False,0.9,michigan assn of counties,natl assn of counties
4,False,0.9,natl council of asian pacific americans,natl council of asian pacific islander physicians
5,False,0.8,asian american community services,oasis legal services
6,True,0.95,american g.i. forum,american gi forum
7,False,0.85,shadow rock united church of christ,united church of christ
8,False,0.9,aclu of pennsylvania,pennsylvania coal alliance
9,False,0.9,aclu of northern california,northern california water assn
10,False,0.95,disability rights florida,disability rights texas
1,False,0.9,american nurses assn,texas nurses assn
2,False,0.8,buckeye firearms assn,firearms policy fdn
3,False,0.95,internet archive,internet assn
4,False,0.9,california rifle and pistol assn,new york state rifle and pistol assn
5,True,0.95,brennan ctr for justice,brennan ctr for justice at nyu school of law
6,False,0.9,district attorneys’ assn of georgia,wisconsin district attorneys assn
7,False,0.85,atlanta legal aid soc,legal aid justice ctr
8,False,0.95,bar assn of the district of columbia,utah assn of criminal defense lawyers
9,False,0.9,american bar assn,women’s bar assn of the state of new york
10,False,0.9,massachusetts chapter of the natl org for women,seattle chapter natl org for women
1,False,0.9,american academy of nursing,assn of american medical colleges
2,False,0.8,nebraska appleseed ctr for law in the public interest,new jersey appleseed public interest law ctr
3,False,0.95,boise metro chamber of commerce,greater san antonio chinese chamber of commerce
4,False,0.95,district attorneys assn of the state of new york,women’s bar assn of the state of new york
5,False,0.9,american hospital assn,connecticut hospital assn
6,False,0.9,california attorneys for criminal justice,vermont assn of criminal defense attorneys
7,False,0.9,aclu of the district of columbia,district of columbia assn of criminal defense lawyers
8,False,0.9,american hospital assn,hospitalitymaine
9,False,0.9,cfl technologies,eaze technologies
10,False,0.9,california state sheriffs’ assn,natl sheriffs assn
1,False,0.9,dominican bar assn,ohio dominican university
2,False,0.95,missouri hospital assn,ri hospitality assn
3,False,0.9,dc coalition against domestic violence,oregon coalition against domestic and sexual violence
4,False,0.85,planned parenthood action fund,planned parenthood fed of america
5,False,0.9,california downtown assn,gre downtowner
6,False,0.9,federal public and community defenders,oregon federal public defender’s office
7,False,0.95,central city assn,lgbt bar assn of los angeles
8,False,0.9,natl ctr for victims of crime,new jersey crime victims’ law ctr
9,False,0.9,alliance san diego,jewish family service of san diego
10,False,0.9,assn of prosecuting attorneys,florida prosecuting attorneys assn
1,False,0.9,assn of new jersey rifle and pistol clubs,california rifle and pistol assn
2,False,0.9,igm biosciences,tyra biosciences
3,True,0.95,california innocence project; ctr on wrongful convictions,ctr on wrongful convictions
4,False,0.95,alameda county public defender,travis county public defender’s office
5,False,0.95,constitution party natl comm,green party natl comm
6,False,0.95,legal aid chicago,legal aid of nebraska
7,False,0.7,ctr for justice and freedom,justice fdn
8,False,0.85,alaska right to life,natl right to life comm
9,True,0.9,baylor scott and white health,scott and white health plan
10,False,0.95,alabama coalition for immigrant justice,new jersey alliance for immigrant justice
1,False,0.9,indiana smoke free alliance,new mexico smoke free alliance
2,False,0.95,american vaping manufacturers assn,american walnut manufacturers assn
3,False,0.85,league of women voters of new york state,league of women voters united states
4,False,0.8,dui defense lawyers assn,natl college for dui defense
5,False,0.9,community health systems,maryland community health system
6,False,0.9,intl assn of chiefs of police,natl assn of chiefs of police
7,False,1.0,american university,brown university
8,False,0.85,jewish pro-life fdn,texas alliance for life
9,False,0.9,american civil liberties union fdn of northern california,american civil liberties union of colorado
10,False,0.95,american psychological assn,mid county psychological associates
1,False,0.9,b.e. technology,california manufacturers and technology assn
2,False,0.95,west virginia chamber of commerce,west virginia coalition against domestic violence
3,False,0.9,dc abortion fund,prairie abortion fund
4,False,0.9,american assn of public health physicians,public health law ctr
5,False,0.95,american assn of university women,marian university
6,False,0.85,access justice,new voices for reproductive justice
7,False,0.9,ctr for reproductive rights,reproductive rights coalition
8,False,0.95,natl partnership for new americans,partnership for new york city
9,False,0.9,trinity college,trinity intl university
10,False,0.95,american council on education,council for american private education
1,False,0.9,asian pacific american gun owners assn,natl asian pacific american bar assn
2,False,0.8,alaska family action,alaska family council
3,False,0.95,fog pharmaceuticals,regeneron pharmaceuticals
4,False,0.95,league of california cities,league of women voters of sf
5,False,0.85,missouri farm bureau fed,state farm bureaus of missouri
6,False,0.95,cuyahoga county public defender’s office,oregon federal public defender’s office
7,False,0.9,dallas baptist university,southwest baptist university
8,False,0.85,inst for justice,mississippi in action
9,False,0.85,ctr for worker freedom,inst for the american worker
10,False,0.9,disability rights education and defense fund,women’s legal defense and education fund
1,False,0.3,environmental org,shoals environmental alliance
2,True,0.9,u.t.o.p.i.a. seattle,utopia seattle
3,False,0.95,aclu of the district of columbia,american civil liberties union of arizona
4,False,0.9,american civil liberties union fdn of northern california,american civil liberties union of southern california
5,True,0.85,assn for mature american citizens action,assn of mature american citizens action
6,False,0.95,arkansas assn of chiefs of police,pennsylvania chiefs of police assn
7,False,0.9,immigration law reform inst,massachusetts law reform inst
8,False,0.4,arkansas state chamber of commerce,chambers of commerce
9,False,0.95,confederated tribes of the colville reservation,confederated tribes of the umatilla indian reservation
10,False,0.7,interfaith alliance,interfaith alliance of colorado
1,False,0.6,materna,materna medical
2,False,0.7,legal aid chicago,legal aid justice ctr
3,True,0.9,people for the american way,people for the american way fdn
4,False,0.95,arizona coalition to end sexual and domestic violence,idaho coalition against sexual and domestic violence
5,False,0.9,illinois sheriffs’ assn,western states sheriffs’ assn
